IDCar,Brand,Model,Year,InitialMileage
4,Ford,Aspire,1995,1475
5,Ford,Club Wagon,1994,50
6,GMC,Sonoma,2002,3
7,Nissan,Armada,2007,8678
8,Pontiac,Safari,1988,72086
9,Pontiac,Grand Prix,1998,72627
10,Chevrolet,Avalanche,2007,5325
11,Dodge,Grand Caravan,2003,51
12,GMC,Sierra,2012,13527
13,Land Rover,Discovery,2000,6061
14,Chevrolet,TrailBlazer,2006,03415
15,Saturn,S-Series,2001,876
16,Ford,F150,1999,461
17,Daewoo,Leganza,1999,9605
18,Lexus,IS-F,2010,28190
19,GMC,Vandura 3500,1993,75
20,GMC,Envoy,2003,6711
21,Infiniti,G25,2011,3937
22,BMW,5 Series,2002,73
23,Lincoln,Continental Mark VII,1989,1
24,Ford,Contour,2000,66655
25,Subaru,Impreza,2010,902
26,Hyundai,Tucson,2007,78335
27,Subaru,Impreza,2004,506
28,Geo,Metro,1992,152
29,Daewoo,Nubira,2002,57070
30,Chevrolet,Impala,2004,263
31,Mazda,RX-7,1990,28
32,Cadillac,Catera,2001,3345
33,Acura,TSX,2007,29569
34,Pontiac,Grand Prix,2008,6581
35,Pontiac,Grand Am,1989,2
36,Geo,Metro,1997,13
37,Honda,Pilot,2012,99096
38,Chevrolet,Express 2500,2012,36
39,Chrysler,Imperial,1993,87768
40,Suzuki,XL-7,2003,41868
41,Dodge,Neon,2004,15
42,Dodge,Ram Wagon B150,1993,57253
43,Acura,TL,2003,191
44,Mercury,Mystique,2000,9989
45,Aston Martin,DB9,2005,9
46,Audi,A4,2008,4928
47,Pontiac,Sunfire,1995,05
48,Chevrolet,Express 2500,1996,94972
49,Nissan,Xterra,2001,9927
50,Porsche,Boxster,1998,26359
51,Audi,A6,1998,83
52,Geo,Tracker,1995,8866
53,Mitsubishi,Eclipse,1994,76768
54,Land Rover,Range Rover Sport,2010,46
55,Ford,Thunderbird,2002,1466
56,Mitsubishi,Lancer,2006,5766
57,Honda,Odyssey,2002,94540
58,Mazda,Mazda6 5-Door,2006,328
59,Honda,Pilot,2005,8771
60,Chevrolet,Caprice Classic,1995,2
61,Toyota,Prius,2009,235
62,Scion,iQ,2012,0
63,Cadillac,Seville,1995,9
64,Ford,Escape,2004,6
65,Volkswagen,Touareg,2005,4
66,Dodge,Ram,2008,1
67,Saab,9-3,2004,31342
68,Pontiac,Vibe,2007,6524
69,Ford,Econoline E250,2002,4959
70,Cadillac,DeVille,2000,1
71,Tesla,Roadster,2011,4523
72,Mercedes-Benz,SL-Class,1994,59
73,Cadillac,DeVille,2000,5
74,Oldsmobile,Intrigue,1998,844
75,Toyota,Paseo,1997,0
76,Pontiac,Grand Prix,1992,9
77,Volkswagen,GTI,1995,904
78,Nissan,Quest,1996,446
79,Dodge,Dynasty,1993,2101
80,Toyota,Highlander,2007,84243
81,Mercedes-Benz,R-Class,2010,6
82,Kia,Rio5,2008,5762
83,Volkswagen,Jetta,2008,34439
84,Chrysler,300C,2005,13
85,Chrysler,300M,2003,62805
86,Kia,Rio5,2008,23626
87,Hummer,H3,2006,013
88,Ford,Expedition,2005,11266
89,Mazda,MX-5,2006,8243
90,Hummer,H1,2001,3845
91,Mitsubishi,Mighty Max,1986,5862
92,GMC,Canyon,2006,15
93,Volkswagen,rio,1995,40
94,Lincoln,Continental,2000,42209
95,Infiniti,EX,2008,2
96,Honda,Accord,1999,2
97,Isuzu,Hombre Space,1998,4247
98,Audi,A8,1999,47
99,Audi,S4,1992,25577
100,Audi,4000s,1985,756
101,Chevrolet,Caprice,1995,98310
102,Chevrolet,Impala SS,1994,509
103,Land Rover,Defender 90,1997,72
104,Acura,NSX,1994,76819
105,Mazda,RX-8,2009,50825
106,Chevrolet,Express 2500,2002,900
107,Plymouth,Voyager,1994,5941
108,Volkswagen,Passat,1990,0694
109,Chevrolet,Metro,1999,7
110,Ford,F-250 Super Duty,2006,02
111,Saturn,Aura,2007,18874
112,Saturn,Aura,2009,475
113,Chevrolet,Suburban 1500,2011,2
114,GMC,Yukon XL 1500,2009,69
115,Mercury,Milan,2007,7700
116,Chevrolet,Express 1500,1998,58731
117,Volkswagen,Cabriolet,1995,0
118,Mercedes-Benz,C-Class,1996,5
119,Ford,Taurus,2005,8
120,Suzuki,Swift,2000,812
121,Chevrolet,Venture,2005,4300
122,Chevrolet,Silverado 1500,2001,736
123,Toyota,MR2,2005,12840
124,MINI,Clubman,2010,7590
125,Saab,9-5,2011,6
126,Volkswagen,rio,2000,3437
127,Chrysler,Crossfire,2008,64
128,Honda,del Sol,1996,4295
129,Volvo,S60,2001,442
130,Audi,S4,2012,871
131,Cadillac,Escalade,2005,322
132,Nissan,Xterra,2008,172
133,Porsche,911,2004,7025
134,Audi,TT,2000,058
135,Jaguar,XJ Series,2003,6
136,Ford,Aerostar,1990,18877
137,Porsche,Boxster,2013,0
138,Ford,F150,1993,3
139,Dodge,Ram 2500,2005,75
140,Lexus,IS,2012,03382
141,Volkswagen,Golf,2003,2
142,BMW,5 Series,2010,663
143,Dodge,Ram 1500 Club,2001,223
144,Volkswagen,New Beetle,2002,06
145,Chevrolet,Tahoe,2002,22
146,Suzuki,Grand Vitara,2006,82
147,Nissan,Sentra,1995,571
148,Chevrolet,Astro,1995,3506
149,Lexus,GS,1999,7019
150,Mercury,Marauder,2004,36
151,Chevrolet,HHR,2008,44
152,Chevrolet,Suburban 1500,1993,1595
153,Jeep,Compass,2007,9785
154,Toyota,Venza,2011,5040
155,Mazda,Mazdaspeed6,2006,4122
156,Ford,Mustang,1965,424
157,Nissan,Cube,2009,2338
158,Maybach,Landaulet,2012,663
159,Volkswagen,Corrado,1994,90018
160,Ferrari,F430,2006,02
161,Porsche,Cayman,2012,5
162,Pontiac,Trans Sport,1999,14
163,Ford,E-350 Super Duty Van,2006,3395
164,Isuzu,i-370,2008,95
165,Porsche,Cayenne,2008,230
166,Chevrolet,S10,1993,48
167,Honda,CR-V,1998,6
168,GMC,Savana 1500,1999,974
169,Lotus,Elan,1994,944
170,Mercury,Sable,2008,72108
171,Land Rover,Freelander,2008,755
172,Acura,Integra,1994,4
173,Lotus,Evora,2010,22
174,Chrysler,Concorde,2002,29844
175,Dodge,Ram 2500,1996,23381
176,Lexus,RX,2013,43832
177,Toyota,Venza,2011,0
178,BMW,1 Series,2012,1399
179,Isuzu,i-Series,2008,4
180,GMC,Suburban 1500,1994,85
181,Lexus,IS,2003,42313
182,Audi,TT,2001,7903
183,Cadillac,Fleetwood,1993,38
184,Chevrolet,Venture,2001,218
185,Acura,ZDX,2012,8045
186,Mercury,Grand Marquis,2001,0806
187,Pontiac,Bonneville,2000,53583
188,GMC,Sierra 2500,2008,145
189,GMC,Sonoma,1997,258
190,Ford,F-Series,1990,25
191,Toyota,Camry,1994,8
192,Infiniti,Q,1998,3093
193,Infiniti,FX,2012,54
194,Lamborghini,Gallardo,2003,2234
195,Ford,EXP,1984,73
196,Ford,C-MAX Hybrid,2013,4
197,Nissan,Quest,2000,98178
198,Chevrolet,Colorado,2009,8
199,Hyundai,Veloster,2013,6
