IDFuel,Time,DriverID,CityID,Amount,Price
4,2013-10-18 09:09:26,5,8,417,2
5,2018-07-26 01:15:20,8,14,3915,431
6,2018-08-17 03:18:41,11,6,8353,45664
7,2020-05-19 13:50:47,11,10,74,1
8,2019-12-15 11:35:35,12,9,58264,65268
9,2016-06-24 17:39:31,9,7,94,1892
10,2016-08-25 21:15:41,13,12,00,52
11,2018-02-01 10:10:48,7,10,6486,3
12,2015-02-13 14:01:25,8,10,073,53
13,2016-03-15 10:50:03,8,11,48379,0
14,2015-07-26 23:51:13,10,14,2813,4834
15,2018-03-22 17:04:24,6,5,55,793
16,2019-03-14 21:00:59,5,9,00,78
17,2017-11-13 01:56:02,10,6,0542,41
18,2015-07-16 03:18:22,11,7,3,462
19,2018-08-31 22:37:11,6,11,4555,8
20,2018-01-29 06:41:38,13,11,97628,090
21,2014-10-29 14:03:31,5,11,34,29
22,2016-10-06 20:40:11,6,6,50448,774
23,2018-09-12 09:52:04,14,9,23156,8
24,2019-02-20 14:43:03,5,14,62842,4476
25,2013-09-20 16:35:40,10,8,2665,46619
26,2016-10-25 14:28:41,14,6,17660,3
27,2018-11-13 18:32:15,13,6,99,61022
28,2014-10-15 13:03:21,10,5,43920,3479
29,2016-04-24 18:12:35,6,10,60464,9875
30,2016-04-21 17:32:21,11,8,52,92906
31,2017-06-11 21:44:12,7,11,3606,7917
32,2014-08-01 05:57:53,6,6,91583,83
33,2015-09-20 16:06:09,6,5,96,518
34,2013-12-27 12:51:09,7,8,55453,2443
35,2018-03-25 10:56:54,11,10,64479,64
36,2019-09-25 19:20:30,10,14,3006,79492
37,2017-10-11 02:18:15,10,12,81758,6
38,2018-11-03 23:00:59,5,9,1,0
39,2019-06-08 23:00:47,5,6,83189,009
40,2020-01-12 06:08:26,5,7,21215,8278
41,2014-06-27 16:49:26,14,14,716,68
42,2012-11-24 18:39:35,14,9,720,51359
43,2019-10-13 23:29:57,5,14,091,71928
44,2013-06-26 15:56:49,8,11,8,30438
45,2020-03-16 15:30:04,10,12,33475,8
46,2019-08-20 16:45:23,10,7,32,41
47,2012-12-16 11:24:37,6,9,294,58
48,2017-08-27 07:18:01,12,14,056,6
49,2017-11-07 17:42:20,13,8,906,591
50,2015-08-19 03:51:56,12,6,587,860
51,2015-06-08 13:18:04,14,8,02,377
52,2017-05-11 01:41:35,5,14,4,408
53,2012-12-04 08:30:21,6,11,1,64
54,2017-04-30 19:20:00,14,11,94945,29
55,2015-02-26 08:29:29,12,11,84987,432
56,2012-12-16 01:23:33,10,12,89963,11
57,2020-08-03 08:25:05,13,7,859,681
58,2018-09-07 19:30:29,8,6,446,25
59,2015-10-14 01:04:29,14,6,8735,0363
60,2018-10-23 11:15:09,5,6,1334,37
61,2016-03-14 21:07:29,8,5,86680,784
62,2014-04-10 00:28:10,6,9,00,0
63,2013-07-18 08:52:17,9,11,652,43904
64,2017-09-08 17:20:19,10,7,8853,03667
65,2018-03-24 09:46:24,13,14,334,101
66,2014-06-24 08:53:51,5,9,75,03811
67,2015-01-30 12:04:13,8,6,1034,7
68,2013-11-06 02:41:01,7,10,23,358
69,2017-08-23 14:05:45,7,9,8464,6
70,2014-09-03 06:44:11,11,6,7,156
71,2015-10-20 19:38:58,5,7,82793,41
72,2018-11-18 14:29:17,8,6,414,31
73,2014-01-25 19:08:37,9,12,0535,66232
74,2014-03-21 17:24:17,9,6,5065,07
75,2018-07-22 21:56:05,13,10,84,04575
76,2013-02-25 18:47:47,12,9,88,17388
77,2015-12-16 15:37:57,10,7,04,2543
78,2012-12-07 06:11:59,12,11,15,44
79,2014-03-10 16:04:09,6,7,71059,05
80,2018-12-02 19:37:22,5,7,56244,0
81,2016-10-05 21:51:46,10,8,1867,62348
82,2020-01-02 16:57:26,10,6,69,2999
83,2013-10-06 22:51:44,6,6,3062,6678
84,2019-12-05 04:33:21,8,6,2,502
85,2014-05-18 14:06:37,11,7,72,11
86,2013-08-26 16:09:58,12,10,600,30
87,2015-11-21 17:48:19,11,9,16867,03
88,2015-02-04 04:50:18,10,9,380,3970
89,2017-09-09 21:14:08,10,5,3,5
90,2020-03-21 07:41:49,12,6,55,2848
91,2013-09-10 15:07:15,11,5,2544,2
92,2018-02-19 18:01:27,14,10,2292,700
