IDRoute,TimeHours,CityA,CityB,Kilometers,AvgSpeed,FuelUsed
4,16,5,12,1,1,59
5,4,8,16,9,10373,5
6,16,6,11,61280,91,7
7,16,23,8,6,524,5
8,32,21,17,6712,8714,9
9,16,13,5,9,89,846
10,32,14,20,80780,78,07
11,4,14,12,8592,923,3
12,16,8,8,48846,4,6629
13,4,10,10,1756,37,10022
14,16,12,13,697,8,14999
15,4,24,5,15345,09,70
16,4,13,11,9698,652,2
17,16,14,16,1,66607,359
18,16,8,24,9,4,5
19,16,11,5,6178,838,611
20,16,12,7,1852,0221,38
21,16,6,24,86,7,1263
22,16,11,10,9810,426,7
23,32,12,22,43312,386,65
24,16,21,18,6,74743,12
25,16,7,16,10,6,79
26,4,12,18,75778,33448,99
27,32,7,9,3,796,8
28,4,8,8,83,6,29356
29,4,11,24,64820,93203,0760
30,4,24,18,773,9,02
31,4,7,7,22,8325,5649
32,16,6,16,9652,65740,4
33,32,6,9,1,316,4
34,16,12,15,59,1334,48891
35,4,8,12,56,58,29
36,4,17,17,02020,4785,9
37,4,22,20,85,28171,79
38,32,13,6,6587,9,3
39,32,9,10,7884,83,0886
40,16,11,21,0,28,58
41,4,20,19,59342,56,575
42,16,17,20,76,03799,9183
43,16,8,19,18514,32193,6377
44,4,5,5,122,23,01807
45,4,21,5,9,09208,1340
46,32,22,21,9,49,9
47,16,19,17,06,1,7581
48,16,21,20,37133,2813,7
49,16,7,23,42,5,32290
50,32,22,18,1,41,8
51,32,23,6,09,6,14658
52,4,24,7,168,252,3
53,16,5,19,076,16334,55
54,32,22,16,6948,27,6
55,16,19,20,352,00263,9
56,4,11,5,5,1,210
57,4,23,23,32905,74,2
58,16,17,6,7246,9,3380
59,16,5,24,378,8,07474
60,16,21,9,86,432,23
61,16,24,23,24,6,78113
62,4,16,23,34,95,74704
63,4,22,8,460,93046,90229
64,16,7,22,1,79601,800
65,32,6,16,4,2185,46
66,4,10,15,72,20063,7440
67,16,21,21,3584,187,981
68,32,14,23,130,7371,3
69,16,7,16,3,33824,5155
70,4,8,17,849,1044,269
71,32,22,8,227,65960,525
72,16,5,9,23952,8125,771
73,16,16,7,20,9247,6
74,32,18,5,108,61344,66554
75,16,12,21,70660,89519,44612
76,16,13,24,432,495,9462
77,32,18,12,4,407,7
78,32,12,18,5121,93,98978
79,32,17,7,8708,56,6796
80,16,8,10,6,818,6
81,32,8,10,36,5,5
82,32,17,10,2,55,22
83,4,15,13,5,21,1324
84,16,7,16,24,268,160
85,32,21,8,5679,62,81
86,32,10,13,2793,78762,0579
87,16,16,19,6016,2,803
88,4,22,17,3825,8,77560
89,4,5,19,585,563,62
90,16,20,23,9759,1833,345
91,32,14,12,0,47288,4
92,32,24,23,0072,3779,925
93,4,9,7,6065,03096,42
94,4,24,10,425,832,1326
95,32,19,22,2,74,847
96,4,15,9,054,8,50878
97,16,10,9,7,03,09
98,32,15,21,4554,1,8023
99,4,6,19,35678,3,7701
100,32,19,11,189,85,2
101,16,14,21,6,210,8224
102,4,14,24,0104,5,31406
103,16,18,23,3120,603,73501
104,32,20,20,3,77,191
105,32,15,11,82,2033,8
106,32,21,15,750,1,72882
107,32,6,12,3,2249,64311
108,16,12,23,1,2116,5
109,16,7,19,50,90,2581
110,32,9,11,63010,62277,835
111,4,11,19,60,213,44
