IDTravelWarrant,DriverID,CarID,TravelWarrantTypeID,FuelID,RouteID
4,7,5,3,18,13
5,19,15,3,19,12
6,18,23,1,17,15
7,9,18,3,14,9
8,17,7,1,23,22
9,22,13,2,10,6
10,24,7,1,10,12
11,21,17,1,12,20
12,12,21,3,5,15
13,11,16,1,5,6
14,10,7,1,19,15
15,8,20,2,13,12
16,20,7,1,15,10
17,14,14,3,19,9
18,8,13,1,15,12
19,12,24,3,12,10
20,22,18,1,9,14
21,6,18,1,10,18
22,8,7,3,15,8
23,17,17,3,7,17
24,11,24,1,14,9
25,23,10,3,20,19
26,20,22,3,6,23
27,11,16,2,19,8
28,21,22,2,22,21
29,6,19,2,15,21
30,9,17,1,8,10
31,16,19,1,20,13
32,11,20,3,16,17
33,21,22,1,24,21
34,6,11,2,9,11
35,14,12,1,10,14
36,19,10,2,19,24
37,20,16,3,17,23
38,18,8,2,8,12
39,14,11,1,16,18
40,11,13,3,20,20
41,5,13,2,12,6
42,7,9,1,17,24
43,11,23,2,16,21
44,13,9,3,24,17
45,19,22,2,21,15
46,18,8,1,17,18
47,23,15,2,11,24
48,7,8,1,17,20
49,6,8,1,6,12
50,9,16,3,5,16
51,8,5,2,18,18
52,21,21,3,9,19
53,8,17,3,5,18
54,21,11,2,11,12
55,14,21,3,18,24
56,23,6,3,20,20
57,5,20,3,6,12
58,23,5,1,20,17
59,16,8,1,23,15
60,7,5,3,12,5
61,23,5,2,21,12
62,8,12,1,7,19
63,19,16,3,14,11
64,19,7,1,5,8
65,21,14,1,14,6
66,19,17,1,12,5
67,5,18,2,15,15
68,16,12,2,19,21
69,13,17,3,5,13
70,9,17,2,16,23
71,13,8,2,18,8
72,23,20,2,11,6
73,22,15,3,15,18
74,14,14,3,7,22
75,18,8,2,5,14
76,23,21,1,21,23
77,14,11,1,21,16
78,22,15,1,22,23
79,7,21,3,16,10
80,23,21,2,10,24
81,22,18,3,21,7
82,21,14,3,23,19
83,22,14,1,9,5
84,17,22,3,9,24
85,22,17,2,10,10
86,15,9,2,15,14
87,9,16,3,10,22
88,7,9,3,11,21
89,20,21,1,10,9
90,8,22,1,10,11
91,19,7,3,6,24
92,11,23,1,14,24
93,16,21,3,24,20
94,13,18,2,10,7
95,10,18,1,14,6
96,7,5,3,7,18
97,9,19,1,15,23
98,21,22,1,20,5
99,10,12,1,9,22
100,23,15,2,15,18
101,9,13,3,7,15
102,14,24,1,18,13
103,21,18,3,18,7
104,13,15,2,23,21
105,13,10,3,18,23
106,22,8,3,7,7
107,19,10,2,14,13
108,24,17,1,9,9
109,20,12,1,14,5
110,23,6,3,20,15
111,19,13,1,17,19
112,22,19,3,7,20
113,5,10,3,20,24
114,16,14,3,12,20
115,13,20,1,18,20
116,6,8,2,12,9
117,10,21,3,23,17
118,12,8,3,7,6
119,16,21,2,11,19
120,15,21,1,17,14
121,24,8,3,14,16
122,19,20,2,10,17
123,21,23,2,23,24
124,23,7,1,12,13
125,16,17,3,19,6
126,7,18,1,17,16
127,5,12,2,7,17
128,24,12,1,15,16
129,23,8,1,17,6
130,11,5,3,20,7
131,19,14,3,19,21
132,17,14,2,14,11
133,22,17,2,8,10
134,15,8,1,14,16
135,14,16,2,15,19
136,5,12,2,8,17
137,17,24,2,23,22
138,6,19,3,13,11
139,23,19,2,21,21
140,23,8,1,6,6
141,5,6,2,10,15
142,14,16,1,22,7
143,18,17,2,7,24
144,22,21,1,13,24
145,22,15,3,16,15
146,8,15,2,15,16
147,19,17,2,19,8
148,19,14,2,14,10
149,20,17,1,15,23
150,15,21,2,16,8
151,21,12,1,13,12
152,5,9,2,19,11
153,10,22,1,22,9
154,14,17,3,21,21
155,12,9,2,16,16
156,23,10,3,10,17
157,8,14,2,10,14
158,17,5,1,24,11
159,15,18,1,24,9
160,22,15,1,11,18
161,18,5,1,24,14
162,12,22,2,6,6
163,6,16,3,18,6
164,6,10,1,16,23
165,6,7,2,18,16
166,5,20,2,7,18
167,18,16,1,14,8
168,7,6,1,17,13
169,15,18,2,23,13
170,24,9,2,17,6
171,15,24,3,23,12
172,23,15,2,17,12
173,8,13,2,5,18
174,12,14,3,11,17
175,16,10,1,11,16
176,22,22,3,17,7
177,16,9,3,16,6
178,11,12,2,15,20
179,14,17,2,20,22
180,7,18,3,22,12
181,5,18,3,14,24
182,6,24,3,8,10
183,22,16,3,6,8
184,19,24,1,17,22
185,5,12,1,24,13
186,20,6,3,16,19
187,12,15,3,9,18
188,21,21,1,15,15
189,19,23,2,12,21
190,7,13,2,8,8
191,13,24,1,23,14
192,20,7,1,16,5
193,8,6,3,15,12
194,19,11,3,8,21
195,11,5,2,20,5
196,20,18,3,16,15
197,18,12,3,9,20
198,8,15,3,22,14
199,6,20,1,24,24
200,19,11,2,10,9
201,14,8,2,17,10
202,5,13,2,19,5
203,20,12,1,20,15
204,20,10,1,8,16
205,22,17,3,8,5
206,12,17,1,14,11
207,20,8,1,11,11
208,13,12,1,10,19
209,12,20,3,12,10
210,12,6,2,20,10
211,11,19,3,6,24
212,21,12,1,8,21
213,24,13,1,14,13
214,7,11,1,14,13
215,21,10,1,24,10
216,19,6,2,18,19
217,8,22,3,24,13
218,22,21,1,18,16
219,12,19,3,8,7
220,7,17,2,21,20
221,13,14,2,20,10
222,8,23,2,12,17
223,18,17,1,11,7
224,8,6,2,13,20
225,11,11,1,13,16
226,11,18,1,11,13
227,16,9,1,7,23
228,24,17,2,17,23
229,21,13,3,9,9
230,15,6,1,10,24
231,13,6,3,24,16
232,17,7,3,15,18
233,19,7,1,11,19
234,18,11,1,13,14
235,16,6,2,15,12
236,17,22,3,11,8
237,24,23,1,6,9
238,7,19,3,18,19
239,11,15,1,6,11
240,20,23,2,22,18
241,8,11,2,19,5
242,20,8,2,24,7
243,11,11,2,22,8
244,12,8,2,7,12
245,15,5,2,13,12
246,12,8,1,23,12
247,19,23,2,11,22
248,18,13,2,16,14
249,22,18,3,22,13
250,6,22,2,7,9
251,21,6,1,11,6
252,16,10,2,20,8
253,19,5,1,14,16
254,23,14,2,22,12
255,24,12,2,16,16
256,17,12,2,16,24
257,20,6,1,19,22
258,14,21,3,9,14
259,19,13,1,21,18
260,20,8,1,21,24
261,9,10,2,13,16
262,10,24,3,10,20
263,9,24,2,20,17
264,9,10,3,11,12
265,7,17,1,14,18
266,10,12,2,22,18
267,23,6,1,14,16
268,23,14,1,14,17
269,13,16,2,22,13
270,15,6,3,22,22
271,18,16,1,6,16
272,5,15,3,23,14
273,8,23,1,14,12
274,19,9,3,5,20
275,11,15,1,23,14
276,13,12,3,23,8
277,23,23,3,9,9
278,16,5,3,15,17
279,18,14,2,10,24
280,16,21,3,18,17
281,12,19,3,16,8
282,23,8,2,19,21
283,12,17,1,6,13
284,10,22,2,10,10
285,23,13,3,11,21
286,6,7,3,14,16
287,16,17,2,6,22
288,8,8,3,12,14
289,22,21,3,19,10
290,8,24,1,20,14
291,7,11,1,20,20
292,14,14,3,11,17
293,11,15,1,5,20
294,18,7,2,11,7
295,20,9,1,6,8
296,22,7,1,19,22
297,7,21,1,12,20
298,23,16,3,18,9
299,12,6,3,15,16
300,22,12,3,14,14
301,10,19,1,6,22
302,24,22,2,7,23
303,11,9,2,18,22
304,11,18,2,24,19
305,17,6,1,5,8
306,24,15,3,23,23
307,18,22,3,11,12
308,9,20,2,16,24
309,15,22,3,13,23
310,5,24,2,10,19
311,14,8,1,23,14
312,23,20,2,5,22
313,24,21,1,15,21
314,18,22,1,23,20
315,11,24,1,11,9
316,9,13,3,10,15
317,10,5,2,17,10
318,12,13,1,24,8
319,15,14,1,7,23
320,11,7,2,15,15
321,7,12,2,11,19
322,19,21,2,16,20
323,16,16,1,14,8
324,18,23,3,14,8
325,16,11,1,19,8
326,15,5,2,11,11
327,8,8,3,14,16
328,14,23,3,6,18
329,13,10,3,8,7
330,12,23,3,10,7
331,14,15,2,6,21
332,20,11,3,7,9
333,16,20,2,9,16
334,11,17,1,15,8
335,11,20,1,6,7
336,19,15,2,13,5
337,15,15,2,13,6
338,22,8,1,20,18
339,5,18,3,5,18
340,7,24,2,12,24
341,6,10,1,24,12
342,21,15,2,11,22
343,23,10,1,16,23
344,16,11,2,20,24
345,5,20,3,24,24
346,5,15,1,11,15
347,19,6,1,8,22
348,16,5,3,17,18
349,5,22,2,9,7
350,19,13,1,8,13
351,5,16,1,8,14
352,5,9,2,21,6
353,18,22,3,12,7
354,17,16,3,7,12
355,15,22,2,22,10
356,7,10,3,21,23
357,20,14,2,15,18
358,6,9,1,16,8
359,18,21,3,15,8
360,14,8,1,7,15
361,13,14,1,8,24
362,8,24,3,21,7
363,9,8,1,20,15
364,13,5,3,16,23
365,8,6,2,10,23
366,7,5,1,22,22
367,8,13,2,8,10
368,11,13,2,17,10
369,17,5,2,21,17
370,9,17,2,7,17
371,5,23,1,17,7
372,20,21,2,17,20
373,20,21,2,20,11
374,20,21,1,19,21
375,11,10,3,5,22
376,20,24,2,5,6
377,18,9,3,21,8
378,5,20,1,11,13
379,20,20,3,20,21
380,17,12,3,5,6
381,8,20,2,16,19
382,7,24,1,21,24
383,7,17,3,7,18
384,23,21,2,6,9
385,11,21,3,10,24
386,7,9,1,23,15
387,13,11,3,19,22
388,24,22,2,22,14
389,20,14,1,18,5
390,9,11,3,15,16
391,13,11,2,23,24
392,23,7,2,22,10
393,9,5,3,14,22
394,20,21,1,21,11
395,14,19,2,12,22
396,24,5,2,15,7
397,9,15,1,10,10
398,14,23,1,5,11
399,17,10,3,22,12
400,19,17,2,12,10
401,11,15,3,19,6
402,7,15,2,20,7
403,14,6,3,5,14
404,18,5,2,17,17
405,9,14,3,12,19
406,21,7,1,6,20
407,20,5,2,17,14
408,22,12,1,11,22
409,9,8,2,13,23
410,16,19,1,18,10
411,13,6,1,14,14
412,9,23,2,12,7
413,22,8,2,5,9
414,13,24,3,21,21
415,7,19,1,12,22
416,19,21,2,7,12
417,11,9,2,11,18
418,16,14,2,19,6
419,14,15,1,20,7
420,19,18,3,23,5
421,12,17,2,10,11
422,22,13,2,24,6
423,12,19,3,21,8
424,18,16,1,17,23
425,21,18,2,9,9
426,21,6,1,11,17
427,13,16,1,16,12
428,7,22,1,20,10
429,14,7,2,8,20
430,16,7,2,24,9
431,14,14,3,11,5
432,20,16,2,8,19
433,15,8,1,18,8
434,7,18,2,18,13
435,5,14,3,15,15
436,21,12,3,15,15
437,24,24,3,24,10
438,21,12,3,7,13
439,17,23,1,21,7
440,8,7,3,6,5
441,9,10,2,11,5
442,12,9,3,8,21
443,14,20,2,24,18
444,23,8,3,9,22
445,17,19,2,23,13
446,12,21,3,12,12
447,6,17,1,12,21
448,21,13,3,12,20
449,17,17,1,6,12
450,20,8,2,5,7
451,24,11,1,10,11
452,24,15,1,16,22
453,6,20,3,13,11
454,22,8,2,14,18
455,15,17,1,23,8
456,21,8,2,24,13
457,20,8,1,11,7
458,24,24,1,15,15
